"Source Name","Program Name",Username,Date/Time,Comment,"Data Source","Bytes Sent","Bytes Received"
SYSTEM,"Microsoft.Windows.CloudExperienceHost_cw5n1h2txyewy","S-1-5-21-2734969515-1644526556-1039763013-1000","2018-03-27 14:49:58 IST","Recently Executed according to Background Activity Moderator (BAM)",LoneWolf.E01,,
SYSTEM,"Microsoft.Windows.OOBENetworkConnectionFlow_cw5n1h2txyewy","S-1-5-21-2734969515-1644526556-1039763013-1000","2018-03-27 14:46:34 IST","Recently Executed according to Background Activity Moderator (BAM)",LoneWolf.E01,,
SYSTEM,"Microsoft.Windows.ShellExperienceHost_cw5n1h2txyewy",jcloudy,"2018-03-28 06:14:24 IST","Recently Executed according to Background Activity Moderator (BAM)",LoneWolf.E01,,
SYSTEM,"Microsoft.Windows.Cortana_cw5n1h2txyewy",jcloudy,"2018-04-06 12:27:53 IST","Recently Executed according to Background Activity Moderator (BAM)",LoneWolf.E01,,
SYSTEM,"\Program Files\DellTPad\Apoint.exe",jcloudy,"2018-03-28 04:59:47 IST","Recently Executed according to Background Activity Moderator (BAM)",LoneWolf.E01,,
SYSTEM,"\Windows\System32\notepad.exe",jcloudy,"2018-03-27 14:56:36 IST","Recently Executed according to Background Activity Moderator (BAM)",LoneWolf.E01,,
SYSTEM,"windows.immersivecontrolpanel_cw5n1h2txyewy",jcloudy,"2018-03-28 07:00:19 IST","Recently Executed according to Background Activity Moderator (BAM)",LoneWolf.E01,,
SYSTEM,"Microsoft.MicrosoftEdge_8wekyb3d8bbwe",jcloudy,"2018-03-31 09:42:39 IST","Recently Executed according to Background Activity Moderator (BAM)",LoneWolf.E01,,
SYSTEM,"\Program Files (x86)\Google\Chrome\Application\chrome.exe",jcloudy,"2018-04-06 13:16:06 IST","Recently Executed according to Background Activity Moderator (BAM)",LoneWolf.E01,,
SYSTEM,"\Program Files\Common Files\microsoft shared\ClickToRun\OfficeClickToRun.exe",jcloudy,"2018-04-04 10:03:49 IST","Recently Executed according to Background Activity Moderator (BAM)",LoneWolf.E01,,
SYSTEM,"\Program Files\Common Files\microsoft shared\ClickToRun\OfficeC2RClient.exe",jcloudy,"2018-04-04 22:03:40 IST","Recently Executed according to Background Activity Moderator (BAM)",LoneWolf.E01,,
SYSTEM,"Microsoft.Office.OneNote_8wekyb3d8bbwe",jcloudy,"2018-04-06 12:54:29 IST","Recently Executed according to Background Activity Moderator (BAM)",LoneWolf.E01,,
SYSTEM,"Microsoft.Windows.CloudExperienceHost_cw5n1h2txyewy",jcloudy,"2018-03-27 15:24:13 IST","Recently Executed according to Background Activity Moderator (BAM)",LoneWolf.E01,,
SYSTEM,"\Windows\System32\cmd.exe",jcloudy,"2018-04-05 07:35:02 IST","Recently Executed according to Background Activity Moderator (BAM)",LoneWolf.E01,,
SYSTEM,"\Windows\System32\OpenWith.exe",jcloudy,"2018-04-02 06:40:22 IST","Recently Executed according to Background Activity Moderator (BAM)",LoneWolf.E01,,
SYSTEM,"Microsoft.WindowsStore_8wekyb3d8bbwe",jcloudy,"2018-04-06 12:51:51 IST","Recently Executed according to Background Activity Moderator (BAM)",LoneWolf.E01,,
SYSTEM,"microsoft.microsoftskydrive_8wekyb3d8bbwe",jcloudy,"2018-03-27 15:25:16 IST","Recently Executed according to Background Activity Moderator (BAM)",LoneWolf.E01,,
SYSTEM,"Microsoft.LockApp_cw5n1h2txyewy",jcloudy,"2018-03-30 08:33:20 IST","Recently Executed according to Background Activity Moderator (BAM)",LoneWolf.E01,,
SYSTEM,"\Program Files\Google\Drive\googledrivesync.exe",jcloudy,"2018-04-05 14:02:48 IST","Recently Executed according to Background Activity Moderator (BAM)",LoneWolf.E01,,
SYSTEM,"\Program Files\S3 Browser\s3browser-win32.exe",jcloudy,"2018-04-05 11:38:37 IST","Recently Executed according to Background Activity Moderator (BAM)",LoneWolf.E01,,
SYSTEM,"\Program Files (x86)\Dropbox\Client\Dropbox.exe",jcloudy,"2018-04-02 07:14:18 IST","Recently Executed according to Background Activity Moderator (BAM)",LoneWolf.E01,,
SYSTEM,"\Program Files\Box\Box Sync\BoxSync.exe",jcloudy,"2018-04-05 07:35:05 IST","Recently Executed according to Background Activity Moderator (BAM)",LoneWolf.E01,,
SYSTEM,"\Program Files (x86)\Microsoft Office\root\Office16\WINWORD.EXE",jcloudy,"2018-04-05 14:02:48 IST","Recently Executed according to Background Activity Moderator (BAM)",LoneWolf.E01,,
SYSTEM,"Microsoft.WindowsCalculator_8wekyb3d8bbwe",jcloudy,"2018-04-01 01:39:50 IST","Recently Executed according to Background Activity Moderator (BAM)",LoneWolf.E01,,
SYSTEM,"Microsoft.Windows.Photos_8wekyb3d8bbwe",jcloudy,"2018-04-05 08:15:27 IST","Recently Executed according to Background Activity Moderator (BAM)",LoneWolf.E01,,
SYSTEM,"\Users\jcloudy\AppData\Local\Microsoft\OneDrive\OneDrive.exe",jcloudy,"2018-04-04 11:29:40 IST","Recently Executed according to Background Activity Moderator (BAM)",LoneWolf.E01,,
SYSTEM,"\Program Files (x86)\Microsoft Office\root\Office16\POWERPNT.EXE",jcloudy,"2018-04-04 10:41:29 IST","Recently Executed according to Background Activity Moderator (BAM)",LoneWolf.E01,,
SYSTEM,"Microsoft.BingWeather_8wekyb3d8bbwe",jcloudy,"2018-04-04 11:10:26 IST","Recently Executed according to Background Activity Moderator (BAM)",LoneWolf.E01,,
SRUDB.dat,,,"2018-03-27 16:29:00 IST","System Resource Usage - Network Usage",LoneWolf.E01,11493512,472482136
SRUDB.dat,System,"'Local System'","2018-03-27 16:29:00 IST","System Resource Usage - Network Usage",LoneWolf.E01,3592,296
SRUDB.dat,System,systemprofile,"2018-03-27 16:29:00 IST","System Resource Usage - Network Usage",LoneWolf.E01,3592,296
SRUDB.dat,"\IPv6 Control Message","'Local System'","2018-03-27 16:29:00 IST","System Resource Usage - Network Usage",LoneWolf.E01,14348,7112
SRUDB.dat,"\IPv6 Control Message",systemprofile,"2018-03-27 16:29:00 IST","System Resource Usage - Network Usage",LoneWolf.E01,14348,7112
SRUDB.dat,"\windows\system32\speech_onecore\common\speechruntime.exe",jcloudy,"2018-03-27 16:29:00 IST","System Resource Usage - Network Usage",LoneWolf.E01,1131,4811
SRUDB.dat,"\users\jcloudy\appdata\local\microsoft\onedrive\onedrive.exe",jcloudy,"2018-03-27 16:29:00 IST","System Resource Usage - Network Usage",LoneWolf.E01,269627,286981
SRUDB.dat,"\windows\system32\wifitask.exe",jcloudy,"2018-03-27 16:29:00 IST","System Resource Usage - Network Usage",LoneWolf.E01,4725,16152
SRUDB.dat,"\program files (x86)\google\chrome\application\chrome.exe",jcloudy,"2018-03-27 16:29:00 IST","System Resource Usage - Network Usage",LoneWolf.E01,594165,6038426
SRUDB.dat,"\program files\common files\microsoft shared\clicktorun\officeclicktorun.exe","'Local System'","2018-03-27 16:29:00 IST","System Resource Usage - Network Usage",LoneWolf.E01,6403,26088
SRUDB.dat,"\program files\common files\microsoft shared\clicktorun\officeclicktorun.exe",systemprofile,"2018-03-27 16:29:00 IST","System Resource Usage - Network Usage",LoneWolf.E01,6403,26088
SRUDB.dat,"\windows\system32\taskhostw.exe",jcloudy,"2018-03-27 16:29:00 IST","System Resource Usage - Network Usage",LoneWolf.E01,2430,6214
SRUDB.dat,"\windows\system32\settingsynchost.exe",jcloudy,"2018-03-27 16:29:00 IST","System Resource Usage - Network Usage",LoneWolf.E01,25670,30607
SRUDB.dat,"\windows\system32\wermgr.exe","'Local System'","2018-03-27 16:29:00 IST","System Resource Usage - Network Usage",LoneWolf.E01,7522,4546
SRUDB.dat,"\windows\system32\wermgr.exe",systemprofile,"2018-03-27 16:29:00 IST","System Resource Usage - Network Usage",LoneWolf.E01,7522,4546
SRUDB.dat,"\program files (x86)\microsoft office\root\office16\msoia.exe",jcloudy,"2018-03-27 16:29:00 IST","System Resource Usage - Network Usage",LoneWolf.E01,4893,23417
SRUDB.dat,"\program files\nvidia corporation\installer2\installercore\setup.exe","'Local System'","2018-03-27 16:29:00 IST","System Resource Usage - Network Usage",LoneWolf.E01,24701,33718
SRUDB.dat,"\program files\nvidia corporation\installer2\installercore\setup.exe",systemprofile,"2018-03-27 16:29:00 IST","System Resource Usage - Network Usage",LoneWolf.E01,24701,33718
SRUDB.dat,,,"2018-03-27 17:46:00 IST","System Resource Usage - Network Usage",LoneWolf.E01,284,366
SRUDB.dat,,,"2018-03-27 17:46:00 IST","System Resource Usage - Network Usage",LoneWolf.E01,88150947,-1423450833
SRUDB.dat,System,"'Local System'","2018-03-27 17:46:00 IST","System Resource Usage - Network Usage",LoneWolf.E01,1672,370
SRUDB.dat,System,systemprofile,"2018-03-27 17:46:00 IST","System Resource Usage - Network Usage",LoneWolf.E01,1672,370
SRUDB.dat,"\IPv6 Control Message","'Local System'","2018-03-27 17:46:00 IST","System Resource Usage - Network Usage",LoneWolf.E01,36860,26416
SRUDB.dat,"\IPv6 Control Message",systemprofile,"2018-03-27 17:46:00 IST","System Resource Usage - Network Usage",LoneWolf.E01,36860,26416
SRUDB.dat,"\windows\system32\slui.exe","'NT Authority'","2018-03-27 17:46:00 IST","System Resource Usage - Network Usage",LoneWolf.E01,26201,70493
SRUDB.dat,"\windows\system32\slui.exe",NetworkService,"2018-03-27 17:46:00 IST","System Resource Usage - Network Usage",LoneWolf.E01,26201,70493
